name,email,district,county,longitude,latitude,location,address,wasteType,facilityType
Protexeco Export Limited,immaculatembura94@gmail.com,Juja area,Kiambu,36.9923894,-1.0857368,"On L.R No. 10090/516, Godown No. 1 & 2, Cura Business Park, Off Gatundu - Juja road, Juja area",P.O BOX 39053 - 00623,Plastic Waste,Recycling
BOTTLES LOGISTICS EAST AFRICA LIMITED,deporabwari@gmail.com,NAIROBI,Nairobi,"36°02'56.4""E","0°17'09.5""S","EASTERN BYPASS, RUAI NJIRU SUBCOUNTY","P.O BOX 33439-00600
NAIROBI",Glass Waste,Transfer Station/Storage Yard
LR/1507/6/9/20/21/22,mau.hr@fontana.co.ke,NJORO,Nakuru,35.947887,-0.372131,NJORO,15688-20100,Organic Waste,Compost
DOWN TO GLOW INTERNATIONAL LIMITED,dwaswaa@gmail.com,NAIROBI,Nairobi,1º19'36.75'' S,36º51'9.89'' E,LIKONI ROAD INDUSTRIAL AREA,P.O BOX 22444-00400 NAIROBI.,Recyclable Waste,Recycling
FADEMA CO LIMITED,fadema2014@gmail.com,kilifi,Kilifi,39.424708,-3.74076,"PLOT LR NO.KILIFI KALUMANI//5010 IN MNYENZENI,KILIFI COUNTY","PO BOX 26501-00504
NAIROBI",Asbestos,Land fill
NICO WASTES INVESTMENTS,omorehawkins@gmail.com,KASARANI,Nairobi,36.950298,-1.243809,"Plot No. 42/30, NJIRU, KASARANI, NAIROBI COUNTY","P.O BOX 17952-00500,
NAIROBI",Plastic Waste,Recycling
SHALOM SCRAP METALS MTWAPA,christopherewoi@gmail.com,MTWAPA SOUTH,Kilifi,39.74343,-3.94713,MTWAPA,BOX 296-80100 MOMBASA,Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
FONTANA LIMITED - MAU NAROK,mau.hr@fontana.co.ke,NJORO,Nakuru,35.9956 E,0.5765 S,MAU NAROK,P.O BOX 15688-20100 NAKURU,Organic Waste,Compost
Hydro Aluminium Limited,chirchirkevin601@gmail.com,"Kiambu, Juja Sub County, Kiambu County",Kiambu,37.00117,-1.088778,"10090/464,Silvercoin Business Park Juja Sub-County, Kiambu County","P.o Box 38720-00600, Nairobi",Aluminium Scrap,Recycling
HEALTH ADVANTAGE K LTD,andrewmoseti@yahoo.com,NAKURU,Nakuru,E 36 01' 12'',S 00 20' 23,NAKURU,P.O BOX 73257-00200 CITY SQUARE NAIROBI,Biomedical/Industrial Waste,Incinerator
MORE METAL LTD,dses2011@gmail.com,NAIROBI,Nairobi,"36° 50' 17.93""E","1°18'0.13""S","Within an existing Godown; on Plot L.R No. 209/5443; ALONG ADDIS ABABA ROAD, OFF ENTERPRISE ROAD;INDUSTRIAL AREA; NAIROBI CITY COUNTY",P.O BOX 63490 - 00620 NAIROBI,Scrap Metal,Transfer Station/Storage Yard
FRAFREX TRADERS INVESTMENTS,josephrobi67@gmail.com,Changamwe,Mombasa,"39°37'03.0""E","4°01'48.4""S",KWAHOLA MAGONGO,P.O BOX 1567-80100 MOMBASA,Scrap Metal,Transfer station
FRAFREX TRADERS INVESTMENTS,josephrobi67@gmail.com,Changamwe,Mombasa,"39°37'03.0""E","4°01'48.4""S","PLOT NO.1511, KWAHOLA MAGONGO, CHANGAMWE, MOMBASA COUNTY",P.O BOX 1567-80100 MOMBASA,Scrap Metal,Transfer station
JOSAMI SMARTWASTE MANAGEMENT,smjosami@gmail.com,MALINDI,Kilifi,"39°41'41.22""E","3°13'26.35""S","KIBAONI VILLAGE,GANZE SUBCOUNTY KILIFI",P.O.BOX 5963-80200 MALINDI,Asbestos,Land fill
WARMTECH AFRICA LIMITED,pauline.maringa@gmail.com,ARTHI RIVER,Machakos,37.0038°E,1.4478°S,"PLOT NO. 10426/46 IN ATHI RIVER, MACHAKOS COUNTY.",P.O. BOX 234 00200 ARTHI-RIVER,Scrap Metal & Used Batteries,Transfer Station/Storage Yard
KINCA TRADING ENTERPRISES LIMITED,berlconsult2013@gmail.com,EMBAKASI,Nairobi,,,NAIROBI/BLOCK168/919 KCC VILLAGE,"P.O. BOX 8542-00100
NAIROBI",Glass Waste,Transfer Station/Storage Yard
EAST AFRICA PAGES ENTERPRISES,johnmanyange981@gmail.com,EMBAKASI,Nairobi,36.8833243,-1.2947353,situated off Outering road Tena Donholm on plot no 82/1981Nairobi county,"P.O BOX 24968-00100
NAIROBI",Paper,Transfer Station/Storage Yard
UPTEX EAST AFRICA LIMITED,"deniskipchumba97@gmail.com, molly.wambui@up-tex.com, linet.kiguru@up-tex.com",kitengela,Kajiado,36.971846,-1.475074,KITENGELA TOWN,"P. O. BOX 2648, SARIT CENTRE",Recyclable Waste,Transfer station
POLLEN LIMITED,Info.Pollen@SYNGENTA.COM,RUIRU,Kiambu,38 E 45 E,21 N 45 S,RUIRU,P.O BOX 1037-00232 RUIRU,Organic Waste,Compost
MATER MISERICORDIAE HOSPITAL,kmuraguri@materkenya.com,"SOUTH B ESTATE, NAIROBI",Nairobi,36.834723,-1.307257,"SOUTH B ESTATE, NAIROBI","P.O BOX 30325-00100
NAIROBI, KENYA",Biomedical Waste,Incinerator
TONONOKA PAPER LTD,tononokapaper@gmail.com,NAIROBI,Nairobi,1 19' 13.485' 'S,36 54' 8.809' 'E,"SHREEJI ROAD NORTH AIRPORT, EMBAKASI",P O BOX 44689 - 00100 - NAIROBI KENYA.,Paper & Cotton Waste,Transfer station
ENVIRO-SAFETY SERVICES,omorehawkins@gmail.com,NAIROBI,Nairobi,36.9271° E,1.2505° S,"L.R NO. D27165/239, NJIRU, NAIROBI COUNTY","P.O BOX 6339,
NAIROBI",Scrap metal/Paper/Polythene,Transfer Station/Storage Yard
DANKA AFRICA (K) LIMITED,INFO@DANKAAFRICA.COM,RABAI SUB-COUNTY,Kilifi,39.537353,-3.933172,KOKOTONI/MAZERAS,P.O BOX 90783 - 80100 MOMBASA,Used Oil/Sludge,Transfer Station/Storage Yard
JEMA WASTE DEALERS ENTERPRISES,OLUKOHE2000@YAHOO.COM,NAIVASHA SUB COUNTY,Nakuru,36.481118,-0.695410,"LR NO.NAIVASHA/MWICHIRINGIRI BLOCK 4/7588,NAKURU COUNTY",P.O BOX 189 - 20117 NAIVASHA,Scrap Metal/Plastic Waste,Transfer Station/Storage Yard
TIA RECYCLING LIMITED,japhethjaph@gmail.com,NAIROBI,Nairobi,24°C,10°C,"INDUSTRIAL AREA, ROAD B",P.O. BOX 66160-00800 NAIROBI,Scrap Metal,Recycling
DANKA AFRICA (K) LTD,OLUKOHE2000@YAHOO.COM,MAZERAS,Kilifi,00,00,"KOKOTONI,MAZERAS",P.O BOX 90783-80100,Used Oil/Sludge,Transfer Station/Storage Yard
TARZON ENTERPRISES,jose.mwendo@yahoo.com,KWALE,Kwale,39.344833,-4.612167,KWALE/SHIMONI ADJ./552,"P.O. BOX 92758 – 80100, MOMBASA",Asbestos,Land fill
PAN AFRICAN PAPER MILLS 2015 LTD,kijanakennedy@gmail.com,WEBUYE,Bungoma,34.785914º,0.591091º,"LR NO NDIVISI/MUCHI/1434, BUNGOMA COUNTY",P.O. Box 535-50205 WEBUYE,Paper,Recycling
